STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,YTD_SNOW,SNOW_PCT,TAVG,TMAX,TMIN
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100120,17.8,6,22.6,35.9,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100121,18.6,6,22.7,36,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100122,19.4,6,22.7,36,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100123,20.2,6,22.7,36.1,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100124,21,6,22.8,36.2,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100125,21.8,6,22.8,36.3,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100126,22.6,6,22.9,36.4,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100127,23.4,6,22.9,36.5,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100128,24.2,6,23,36.5,9.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100129,25,6,23.1,36.6,9.5
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100130,25.8,6,23.1,36.7,9.5
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100131,26.6,6,23.2,36.9,9.6
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100201,27.4,6,23.3,37,9.7
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100202,28.3,6,23.4,37.1,9.7
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100203,29.1,6,23.5,37.2,9.8
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100204,30,7,23.6,37.3,9.9
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100205,30.8,7,23.8,37.5,10
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100206,31.7,7,23.9,37.6,10.1
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100207,32.6,7,24,37.8,10.3
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100208,33.5,7,24.2,37.9,10.4
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100209,34.5,7,24.3,38.1,10.6
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100210,35.4,7,24.5,38.3,10.8
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100211,36.3,8,24.7,38.5,10.9
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100212,37.3,8,24.9,38.6,11.1
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100213,38.2,8,25.1,38.8,11.3
GHCND:USC00050372,ASPEN 1 SW CO US,2455.5,39.188,-106.8361,20100214,39.1,8,25.3,39,11.6
