Resort Name,State,Double Chairs,Quad Chairs,Surface Lifts,Base,Summit,Vertical Drop,Longest Run,Snow Making,Beginner,Intermediate,Advanced,Expert
Copper Mountain Resort,"Colorado, USA",4,0,8,9712ft,12313ft,2601ft,1.7mi,364ac,0.21,0.25,0.36,0.18
Cranmore Mountain Resort,"New Hampshire, USA",1,1,2,600ft,2000ft,1200ft,1mi,192ac,0.28,0.44,0.28,0
Crested Butte Mountain Resort,"Colorado, USA",2,2,5,9100ft,12162ft,3062ft,2.6mi,297ac,0.26,0.57,0.14,0.03
Crotched Mountain,"New Hampshire, USA",1,1,1,1050ft,2066ft,1016ft,1.2mi,100ac,0.28,0.4,0.32,0
Crystal Mountain,"Michigan, USA",0,3,2,757ft,1132ft,375ft,0.3mi,96ac,0.22,0.48,0.3,0
Crystal Mountain,"Washington, USA",2,1,1,757ft,1132ft,375ft,0.3mi,96ac,0.22,0.48,0.3,0
Dartmouth Skiway,"New Hampshire, USA",1,1,2,974ft,1943ft,969ft,1.1mi,54ac,0.21,0.5,0.25,0.04
Deer Mountain Ski Resort,"South Dakota, USA",1,0,2,6040ft,6850ft,940ft,1.6mi,50ac,0.29,0.48,0.24,0
Deer Valley Resort,"Park City, USA",2,1,0,6570ft,9570ft,3000ft,2.8mi,670ac,0.27,0.41,0.27,0.05
Devils Head,"Wisconsin, USA",6,3,2,495ft,995ft,500ft,1mi,260ac,0.3,0.4,0.3,0
Diamond Peak,"Nevada, USA",3,2,1,6700ft,8540ft,1840ft,2.5mi,492ac,0.1,0.42,0.48,0
Discovery Ski Area,"Montana, USA",2,0,1,5770ft,8150ft,2380ft,1.5mi,19ac,0.2,0.25,0.25,0.3
Dodge Ridge,"California, USA",5,1,4,6600ft,8200ft,1600ft,2mi,0ac,0.2,0.4,0.4,0
Donner Ski Ranch,"California, USA",5,0,2,7031ft,8012ft,750ft,1.5mi,60ac,0.25,0.5,0.25,0
Dry Hill Ski Area,"New York, USA",1,0,2,650ft,950ft,300ft,0.2mi,26ac,0.33,0.34,0.33,0
Eaglecrest Ski Area,"Alaska, USA",4,0,0,1200ft,2600ft,1540ft,2mi,60ac,0.2,0.4,0.3,0.1
Eagle Point,"Utah, USA",2,1,1,9100ft,10600ft,1500ft,0.9mi,0ac,0.2,0.35,0.45,0
Eagle Rock,"Pennsylvania, USA",3,0,0,1260ft,1810ft,550ft,1mi,0ac,0.5,0.07,0.43,0
Eldora Mountain Resort,"Colorado, USA",3,2,3,9200ft,10600ft,1600ft,3mi,680ac,0.19,0.46,0.17,0.17
